parent_dir,m00,m01,m02,m10,m11,m12,m20,m21,m22
Y2TiO5_Ti,0.0,0.43234616212383015,0.4289793881509541,0.43234616212383015,0.0,0.2393620495917018,0.4289793881509541,0.2393620495917018,0.0
V2O5_V,0.0,0.1232503139533762,0.4363089964017818,0.1232503139533762,0.0,0.5111846293103673,0.4363089964017818,0.5111846293103673,0.0
Cr2O3_Cr,0.0,8.257423002530397e-06,0.11263155928388434,8.257423002530397e-06,0.0,0.1126261364975969,0.11263155928388434,0.1126261364975969,0.0
CrPbO4_Cr,0.0,0.12775590545301974,0.06665932171872072,0.12775590545301974,0.0,0.09765217703043633,0.06665932171872072,0.09765217703043633,0.0
LiMnP_Mn,0.0,1.18764242711592e-06,0.2088928825518471,1.18764242711592e-06,0.0,0.20889311816182635,0.2088928825518471,0.20889311816182635,0.0
MnO_Mn,0.0,0.01594928331350104,0.026567020493145802,0.01594928331350104,0.0,0.01903138623066187,0.026567020493145802,0.01903138623066187,0.0
Fe2O3_Fe,0.0,3.4408296612174207e-06,0.14793567571636393,3.4408296612174207e-06,0.0,0.1479349090522689,0.14793567571636393,0.1479349090522689,0.0
CoS2_Co,0.0,1.1598443239732943e-06,1.3610149338022959e-06,1.1598443239732943e-06,0.0,1.4488360224369782e-06,1.3610149338022959e-06,1.4488360224369782e-06,0.0
NiO_Ni,0.0,5.790246565755459e-07,3.770209682654508e-06,5.790246565755459e-07,0.0,3.8498179229335815e-06,3.770209682654508e-06,3.8498179229335815e-06,0.0
TmNiC2_Ni,0.0,0.5194495427872441,0.35417693513617843,0.5194495427872441,0.0,0.5850072841904835,0.35417693513617843,0.5850072841904835,0.0
Sr2CuO3_Cu,0.0,0.6211446093024069,0.24904156459081037,0.6211446093024069,0.0,0.6894316098769798,0.24904156459081037,0.6894316098769798,0.0
ZnS_Zn,0.0,7.230499892050165e-07,0.0011050946507214004,7.230499892050165e-07,0.0,0.001105311304697407,0.0011050946507214004,0.001105311304697407,0.0
